Datetime,Latitude,Longitude,Elevation,Pressure,Speed,Bearing
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,0.11,1000,18.9,262
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,0.32,975,18.8,262
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,0.5,950,18.8,262
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,0.8,925,19.1,263
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,1.0,900,19.0,262
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,1.5,850,18.9,262
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,1.9,800,19.2,263
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,3.0,700,26.1,271
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,4.2,600,13.1,184
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,5.6,500,25.2,205
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,7.2,400,42.4,241
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,9.2,300,81.6,270
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,10.4,250,104.0,277
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,11.8,200,110.7,279
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,13.5,150,105.4,282
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,15.8,100,123.7,288
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,17.7,70,133.6,288
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,19.3,50,127.9,287
2025-03-08 21:00:00,74.22978845826613,-32.089191506091524,22.0,30,106.3,295
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,0.11,1000,20.1,261
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,0.32,975,20.1,260
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,0.5,950,20.0,260
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,0.8,925,20.0,261
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,1.0,900,20.0,260
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,1.5,850,19.9,261
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,1.9,800,19.8,260
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,3.0,700,21.3,262
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,4.2,600,16.1,204
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,5.6,500,30.0,217
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,7.2,400,54.6,261
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,9.2,300,107.9,278
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,10.4,250,125.0,282
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,11.8,200,121.7,283
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,13.5,150,108.3,283
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,15.8,100,123.3,288
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,17.7,70,138.6,286
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,19.3,50,135.9,287
2025-03-08 22:00:00,74.1122622383938,-32.11921153173858,22.0,30,109.6,299
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,0.11,1000,19.5,265
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,0.32,975,19.5,265
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,0.5,950,19.5,264
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,0.8,925,19.4,264
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,1.0,900,19.8,264
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,1.5,850,19.7,265
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,1.9,800,19.6,264
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,3.0,700,19.9,265
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,4.2,600,15.7,208
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,5.6,500,30.7,219
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,7.2,400,55.7,263
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,9.2,300,111.9,279
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,10.4,250,127.8,282
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,11.8,200,122.0,283
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,13.5,150,108.6,283
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,15.8,100,123.7,288
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,17.7,70,138.6,286
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,19.3,50,137.0,287
2025-03-08 22:00:00,74.02411297705552,-32.4371802549675,22.0,30,110.6,299
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,0.11,1000,19.7,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,0.32,975,19.5,241
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,0.5,950,19.4,241
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,0.8,925,19.6,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,1.0,900,19.5,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,1.5,850,19.6,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,1.9,800,19.2,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,3.0,700,19.7,242
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,4.2,600,16.1,210
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,5.6,500,31.7,217
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,7.2,400,63.9,265
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,9.2,300,123.9,279
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,10.4,250,134.9,282
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,11.8,200,125.2,282
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,13.5,150,109.2,282
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,15.8,100,123.8,286
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,17.7,70,138.8,285
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,19.3,50,138.6,286
2025-03-08 22:00:00,74.0415278568825,-33.30227464417225,22.0,30,111.1,298
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,0.11,1000,20.7,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,0.32,975,20.7,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,0.5,950,20.6,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,0.8,925,20.6,249
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,1.0,900,20.5,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,1.5,850,20.9,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,1.9,800,20.7,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,3.0,700,20.4,250
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,4.2,600,22.1,231
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,5.6,500,38.7,240
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,7.2,400,86.8,276
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,9.2,300,152.8,283
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,10.4,250,151.4,285
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,11.8,200,133.9,285
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,13.5,150,110.0,284
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,15.8,100,124.3,285
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,17.7,70,143.8,285
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,19.3,50,141.2,289
2025-03-08 23:00:00,73.89599573118664,-32.70457726576095,22.0,30,110.0,298
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,0.11,1000,20.0,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,0.32,975,20.2,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,0.5,950,20.3,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,0.8,925,20.2,253
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,1.0,900,20.3,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,1.5,850,20.2,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,1.9,800,19.9,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,3.0,700,20.2,252
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,4.2,600,21.4,227
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,5.6,500,37.3,237
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,7.2,400,81.8,274
2025-03-08 23:00:00,73.89931362774631,-32.67620009314879,9.2,300,146.4,283
